id_squadra,giorno,voto_base
aquile,1,3
leoni,1,5
gechi,1,6
squali,1,7
aquile,2,5
leoni,2,5
gechi,2,7
squali,2,4
leoni,3,12
gechi,3,14
aquile,3,5
squali,3,4
leoni,4,6
gechi,4,5
aquile,4,7
squali,4,5
leoni,5,8
gechi,5,10
aquile,5,6
squali,5,4
leoni,7,15
gechi,7,9
aquile,7,15
squali,7,17
